id,rating,release_date_cert,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
207703,R,2014-12-13 00:00:00+00:00,tt2802144,Kingsman: The Secret Service,81000000,2014-12-13,414351546,129.0,en,Kingsman: The Secret Service,7.6,11796,/hz46qOLJpDZ3lxVAAPTVpStpD2u.jpg,"[80, 35, 28, 12]","['Crime', 'Comedy', 'Action', 'Adventure']",['English'],"[22213, 5374, 78995, 25, 2265]","['TSG Entertainment', 'Marv Films', 'Cloudy Productions', '20th Century Fox', 'Shangri-La Entertainment']","['US', 'GB', 'GB', 'US', 'US']"
333667,PG,2017-02-24 00:00:00+00:00,tt2822672,Rock Dog,60000000,2016-07-08,9420546,90.0,en,Rock Dog,5.9,163,/7RXi2afiNJGU8EB79SD8HYoSz4O.jpg,"[12, 16, 35, 10751, 10402]","['Adventure', 'Animation', 'Comedy', 'Family', 'Music']",['English'],"[89486, 2787, 89487, 89488, 89489]","['Dream Factory Group', 'Reel FX Creative Studios', 'Mandoo Pictures', 'Huayi Tencent Entertainment Company', 'Eracme Entertainment']","['CN', '', '', '', '']"
316023,R,2016-07-08 00:00:00+00:00,tt2823054,Mike and Dave Need Wedding Dates,33000000,2016-06-15,77068246,98.0,en,Mike and Dave Need Wedding Dates,6.0,1827,/g3XO04jfu5ZJExsM6JgYYFp8FOA.jpg,[35],['Comedy'],['English'],"[7076, 22213, 25]","['Chernin Entertainment', 'TSG Entertainment', '20th Century Fox']","['US', 'US', 'US']"
184345,R,2014-04-18 00:00:00+00:00,tt2828996,A Haunted House 2,4000000,2014-04-17,25343661,87.0,en,A Haunted House 2,5.9,791,/oV7M00fPXy5P0nbdeMbSUjYv0vx.jpg,"[35, 27]","['Comedy', 'Horror']",['English'],"[10427, 7625]","['Open Road Films', 'Automatik Entertainment']","['US', 'US']"
254470,PG-13,2015-05-15 00:00:00+00:00,tt2848292,Pitch Perfect 2,29000000,2015-05-07,287506194,115.0,en,Pitch Perfect 2,6.8,4097,/25gcRJC8EmCfVUiFv6rjN0zBSJM.jpg,"[35, 10402]","['Comedy', 'Music']",['English'],"[33, 12026, 12365]","['Universal Pictures', 'Gold Circle Films', 'Brownstone Productions']","['US', 'US', 'US']"
323675,PG-13,2016-01-15 00:00:00+00:00,tt2869728,Ride Along 2,40000000,2016-01-14,124827316,102.0,en,Ride Along 2,6.2,1112,/2433Vt8xuDnAIDAJTNx6DEtf9Qb.jpg,"[28, 35]","['Action', 'Comedy']",['English'],"[83397, 33, 49968, 2780]","['Reel Chefs Catering', 'Universal Pictures', 'Will Packer Productions', 'Cube Vision']","['', 'US', 'US', 'US']"
256274,R,2014-08-29 00:00:00+00:00,tt2870612,"As Above, So Below",5000000,2014-08-14,40100000,93.0,en,"As Above, So Below",6.3,1698,/oJZSajKLJkoTOzSZQN2ZwRnPwHZ.jpg,"[27, 53]","['Horror', 'Thriller']",['English'],"[66930, 923, 33]","['Brothers Dowdle Productions', 'Legendary Entertainment', 'Universal Pictures']","['', 'US', 'US']"
231576,R,2014-01-18 00:00:00+00:00,tt2870708,Wish I Was Here,5500000,2014-01-18,5483299,107.0,en,Wish I Was Here,6.6,502,/hDDXIWLBS6rNPJS4tQvEXWxGXjK.jpg,"[18, 35]","['Drama', 'Comedy']",['English'],"[856, 9015, 215]","['Wild Bunch', 'Worldview Entertainment', 'Double Feature Films']","['FR', '', '']"
242582,R,2014-10-31 00:00:00+00:00,tt2872718,Nightcrawler,8500000,2014-10-23,50300000,118.0,en,Nightcrawler,7.7,7065,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,"[80, 18, 53]","['Crime', 'Drama', 'Thriller']",['English'],"[24049, 2266]","['Sierra / Affinity', 'Bold Films']","['US', 'US']"
240832,R,2014-07-25 00:00:00+00:00,tt2872732,Lucy,40000000,2014-07-25,126546825,89.0,en,Lucy,6.3,11636,/kRbpUTRNm6QbLQFPFWUcNC4czEm.jpg,"[28, 878]","['Action', 'Science Fiction']","['普通话', 'English', 'Français', 'Español', '한국어/조선말']","[6896, 104, 10611, 356]","['EuropaCorp', 'Canal+', 'Ciné+', 'TF1 Films Production']","['FR', 'FR', 'FR', 'FR']"
401981,R,2018-03-02 00:00:00+00:00,tt2873282,Red Sparrow,69000000,2018-02-28,151572634,140.0,en,Red Sparrow,6.5,4155,/oy6EYWzTwcIMjQYTS6uXS7JXGOx.jpg,"[9648, 53]","['Mystery', 'Thriller']",['English'],"[99426, 7076, 8083, 25]","['Soundtrack New York', 'Chernin Entertainment', 'Film Rites', '20th Century Fox']","['US', 'US', 'US', 'US']"
253331,PG-13,2014-10-08 00:00:00+00:00,tt2883434,Black or White,9000000,2014-09-06,21571189,121.0,en,Black or White,6.7,241,/hOxxudUwgh5KGC7LtxDCkkwn1YP.jpg,[18],['Drama'],['English'],[14580],['Treehouse Pictures'],['']
244267,R,2014-07-18 00:00:00+00:00,tt2884206,I Origins,0,2014-07-18,336472,106.0,en,I Origins,7.6,2189,/pqOAWJrqFyfxOxNG26rBlonSN9Z.jpg,"[878, 18]","['Science Fiction', 'Drama']",['English'],"[36186, 22632, 36187]","['Bersin Pictures', 'Verisimilitude', 'WeWork Studios']","['', '', '']"
254905,PG-13,2015-06-19 00:00:00+00:00,tt2893490,Manglehorn,4000000,2015-06-03,143101,97.0,en,Manglehorn,5.4,123,/urVbu16eKzi0IHQHh9b9eN3R0sh.jpg,[18],['Drama'],['English'],[9015],['Worldview Entertainment'],['']
248774,R,2014-01-17 00:00:00+00:00,tt2910274,Obvious Child,0,2014-06-06,3123963,83.0,en,Obvious Child,6.7,295,/fdiCV1xN44GunuSHFL06KSkcuDZ.jpg,"[35, 10749]","['Comedy', 'Romance']",['English'],"[10479, 34455, 34456]","['Sundial Pictures', 'Votiv Films', 'Rooks Nest Entertainment']","['US', 'US', 'GB']"
